dep;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;moyenne_periode
88; 0;-1; 1; 3; 1; 1; 7;-1; 4; 7;-1; 1; 2; 4; 9;-3;  0;-2;-2; -1;  3; -5;  1; -4; -1;  2;  0; -1;  0; -1; -3; -1; -2; -1; -1;  2; -1; -2; 0,5
89; 1; 2; 0; 0; 4; 1; 3; 1; 0; 0; 1; 2; 1; 5;-2; 1; -1;-1; 0;  1;  0; -1;  2;  0;  0;  0;  1; -2;  0;  0;  0;  0;  1;  0;  6;  1; -4;  0; 0,6
90; 0; 0; 2; 3; 6; 2; 5; 3; 0; 4; 6; 0; 3; 1; 2;-3; -2; 2;-1;  1;  0; -2; -4; -2;  0;  2; -1; -5;  1; -3;  0;  0;  0; -1; -2; -3; -3; -1; 0,6
91; 6; 6; 7;12;19; 4; 9;14; 7;26; 2;13;20;11;11; 2;  7; 6; 8;  9;  7;  2;  9;  3; -2;  3; -6;-31;  0;-13; -5; -1;  5; -5;  2; -8; -8;  2; 4,9
92; 6;20; 7;14;31;33;28;34;13;24;18;17;31;31; 5;21;  8;24;15; 12; 16;-17; -5;  7; 10;-15;-13; -7;-10;-13; -3;  1; -7;-19;-15;  3; -6;-23; 9,3
93;12;17; 4; 9;10;15; 1;19;13;11; 4;15;27;38;-7; 3;  4; 1; 6;  6;  1;  5;  4; -7; -1;  2; -5; -4;  6;-13; -7;  1;  0;-10;  0;  1;-14; -8; 5,3
94;15;13; 7;11;25;22;20; 7; 6;16; 3; 9; 3;52;10;32;  8;-1; 2; 10; 33;  3;-10;-12;  1;  6; 20;  1;-17;  7;  2; -3;  1;-11;-21; -7;-12; 15; 8,6
95; 8;14; 5;10;15;16;12; 1; 3; 2;16; 6; 8; 5; 4;-3;  9; 6;-1;  8; -6; 21; -9; -4;  4; -1;  2;  0; -7; -5; -5; -7; -8; -5; -4; -7;-11;  2; 3,4
971; 0; 0; 0; 6; 0; 0; 0; 1; 6; 0;-1;-1; 1; 0; 4; 1;  0; 1; 0; -1; -1;  1;  2;  1; -1; -1;  0; -1;  0;  2; -2;  0; -1; -1; -2;  1; -1; -2; 0,4
972; 0; 0; 0; 0; 0; 0; 2; 4; 4;-1; 1; 0; 3; 1; 1;-1; -1; 3;-1; -1;  0; -2; -1; -1;  0;  1;  0;  0;  1;  0; -3; -1; -3;  0; -1;  0;  0;  0; 0,1
973; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1;  0; 0; 0;  0;  0;  0;  0;  0;  0;  0;  0; -1;  1;  1;  0;  0;  0; -1;  0; -1;  0;  0; 0,0
974; 0; 0; 0; 0; 0; 1; 0; 0;-1; 1; 1; 0; 2;-3;-1; 0;  2; 0; 0;  0;  0; -1;  0;  0;  0;  0;  0;  0;  1; -1; -1;  0;  0;  0;  0;  0;  0;  0; 0,0
976; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0;  0; 0; 0;  0;  1;  0;  0; -1;  0;  0;  0;  1;  2;  0; -1; -1;  0;  0;  0;  0; -1;  0; 0,1
